"","Respondent.ID","Start_Date","Age","Gender","Continent","Highest_Education","SES","Social_media_used_most","Hours_use","Seen_vaccines_post","SM_influence","Trust_most","MMR_autism","Disease_rare","Parents_decide","Neurological_problems","Handle_multiple","CDC_not_trustworthy","Follow_recommendation","Vaccine_risk","Measles_efficacy","Avoid_death","Data_publicity","Protect_immunocompromised"
"1201",10165292724,"8/16/18 17:33","25-34","Other / Prefer not to answer","Australia/ Oceania","Bachelor_Degree","Lower Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1202",10165291347,"8/16/18 17:33","55-64","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1203",10165290221,"8/16/18 17:32","18-24","Female","North America, United States","High_school","Middle Class","Twitter","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1204",10165288574,"8/16/18 17:30","35-44","Female","North America, United States","Bachelor_Degree","Lower Class","Facebook","5-6","Yes","No_influence","Doctors","False","False","False","False","False","Unsure","True","True","True","Unsure","True","True"
"1205",10165287769,"8/16/18 17:30","45-54","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","True","Unsure","True","True","True","True","False","False","Unsure","Unsure","Unsure","False"
"1206",10165286712,"8/16/18 17:29","18-24","Female","North America, United States","High_school","Lower Class","Instagram","5-6","Yes","No_influence","Doctors","Unsure","False","False","Unsure","Unsure","False","Unsure","Unsure","True","True","Unsure","True"
"1207",10165284839,"8/16/18 17:28","25-34","Male","Australia/ Oceania","Professional_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1208",10165284607,"8/16/18 17:28","35-44","Female","North America, United States","Professional_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","Unsure","True","True","Unsure","True"
"1209",10165283801,"8/16/18 17:27","35-44","Female","Europe","High_school","Lower Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","Unsure","False","False","True","True","True","True","True","True"
"1210",10165281780,"8/16/18 17:26","25-34","Other / Prefer not to answer","North America, United States","Master_Degree","Upper Class","Facebook","5-6","Yes","No_influence","Doctors","False","False","False","False","False","True","True","True","True","True","True","True"
"1211",10165281443,"8/16/18 17:25","45-54","Female","North America, United States","Bachelor_Degree","Upper Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"1212",10165281278,"8/16/18 17:25","35-44","Female","North America, United States","High_school","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","True","False","False","Unsure","True","True","True","True","False","True"
"1213",10165279764,"8/16/18 17:24","45-54","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","True","Unsure","True","True","True","False","True","True","True","True"
"1214",10165278219,"8/16/18 17:23","45-54","Female","North America, United States","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1215",10165278179,"8/16/18 17:23","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","No_influence","Doctors","False","False","Unsure","False","False","False","True","True","True","True","True","True"
"1216",10165277783,"8/16/18 17:22","45-54","Female","North America, United States","Bachelor_Degree","Upper Class","Instagram","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1217",10165276127,"8/16/18 17:21","45-54","Male","North America, United States","Associate_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1218",10165275129,"8/16/18 17:21","25-34","Female","Europe","Associate_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","True","True","True","True","True","True","True"
"1219",10165273862,"8/16/18 17:20","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"1220",10165273621,"8/16/18 17:20","35-44","Male","North America, United States","Bachelor_Degree","Middle Class","Other (please specify)","0-2","Yes","No_influence","Doctors","False","False","True","False","False","True","True","True","True","True","True","True"
"1221",10165273281,"8/16/18 17:19","55-64","Female","Australia/ Oceania","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
